algo,cost,time_to_best,instance_name
pyvrp,1763.0,90.009,A-n80-k10
pyvrp,1034.0,90.005,A-n61-k9
pyvrp,1616.0,90.005,A-n63-k9
pyvrp,1073.0,90.004,A-n55-k9
pyvrp,661.0,90.003,A-n33-k5
pyvrp,742.0,90.004,A-n33-k6
pyvrp,669.0,90.003,A-n37-k5
pyvrp,949.0,90.005,A-n37-k6
pyvrp,914.0,90.004,A-n46-k7
pyvrp,1167.0,90.004,A-n54-k7
pyvrp,937.0,90.004,A-n44-k6
pyvrp,831.0,90.004,A-n39-k6
pyvrp,1073.0,90.003,A-n48-k7
pyvrp,822.0,90.004,A-n39-k5
pyvrp,1159.0,90.005,A-n69-k9
pyvrp,1174.0,90.006,A-n65-k9
pyvrp,1354.0,90.007,A-n60-k9
pyvrp,1314.0,90.006,A-n63-k10
pyvrp,1010.0,90.004,A-n53-k7
pyvrp,1288.0,90.005,A-n62-k8
pyvrp,784.0,90.003,A-n32-k5
pyvrp,799.0,90.003,A-n36-k5
pyvrp,1401.0,90.004,A-n64-k9
pyvrp,730.0,90.003,A-n38-k5
pyvrp,778.0,90.004,A-n34-k5
pyvrp,1146.0,90.003,A-n45-k7
pyvrp,944.0,90.004,A-n45-k6
