algo,cost,time_to_best,instance_name
optimal,784,,A-n32-k5
optimal,661,,A-n33-k5
optimal,742,,A-n33-k6
optimal,778,,A-n34-k5
optimal,799,,A-n36-k5
optimal,669,,A-n37-k5
optimal,949,,A-n37-k6
optimal,730,,A-n38-k5
optimal,822,,A-n39-k5
optimal,831,,A-n39-k6
optimal,937,,A-n44-k6
optimal,944,,A-n45-k6
optimal,1146,,A-n45-k7
optimal,914,,A-n46-k7
optimal,1073,,A-n48-k7
optimal,1010,,A-n53-k7
optimal,1167,,A-n54-k7
optimal,1073,,A-n55-k9
optimal,1354,,A-n60-k9
optimal,1034,,A-n61-k9
optimal,1288,,A-n62-k8
optimal,1616,,A-n63-k9
optimal,1314,,A-n63-k10
optimal,1401,,A-n64-k9
optimal,1174,,A-n65-k9
optimal,1159,,A-n69-k9
optimal,1763,,A-n80-k10
