name,n,K,capacity,timelimit,objective,mip_gap,runtime,vehicles,term,primal,stated_cost,diff,diff_pct
A-n32-k5.vrp,32,5,100,320.0,784.0,0.0,71.425414458,5,OPTIMAL,FEASIBLE_POINT,784.0,0.0,0.0
A-n33-k5.vrp,33,5,100,330.0,661.0,0.0,40.415462208,5,OPTIMAL,FEASIBLE_POINT,661.0,0.0,0.0
A-n33-k6.vrp,33,6,100,330.0,742.0,0.0,112.812535916,6,OPTIMAL,FEASIBLE_POINT,742.0,0.0,0.0
A-n34-k5.vrp,34,5,100,340.0,778.0,0.0,109.081814459,5,OPTIMAL,FEASIBLE_POINT,778.0,0.0,0.0
A-n36-k5.vrp,36,5,100,360.0,799.0,0.012515644555694618,360.0280485,5,TIME_LIMIT,FEASIBLE_POINT,799.0,0.0,0.0
A-n37-k5.vrp,37,5,100,370.0,669.0,0.0,31.562467458,5,OPTIMAL,FEASIBLE_POINT,669.0,0.0,0.0
A-n37-k6.vrp,37,6,100,370.0,950.0,0.029473684210526315,370.013188583,6,TIME_LIMIT,FEASIBLE_POINT,949.0,1.0,0.1053740779768177
A-n38-k5.vrp,38,5,100,380.0,730.0,0.0,198.823116042,5,OPTIMAL,FEASIBLE_POINT,730.0,0.0,0.0
A-n39-k5.vrp,39,5,100,390.0,825.0,0.025454545454545455,390.0256195,5,TIME_LIMIT,FEASIBLE_POINT,822.0,3.0,0.36496350364963503
A-n39-k6.vrp,39,6,100,390.0,831.0,0.01684717208182912,389.980567792,6,TIME_LIMIT,FEASIBLE_POINT,831.0,0.0,0.0
A-n44-k6.vrp,44,6,100,440.0,942.0,0.020169851380042462,440.027540459,6,TIME_LIMIT,FEASIBLE_POINT,937.0,5.0,0.5336179295624333
A-n45-k6.vrp,45,6,100,450.0,948.0,0.03164556962025317,450.021319208,6,TIME_LIMIT,FEASIBLE_POINT,944.0,4.0,0.423728813559322
A-n45-k7.vrp,45,7,100,450.0,1153.0,0.04856895056374675,450.022075,7,TIME_LIMIT,FEASIBLE_POINT,1146.0,7.0,0.6108202443280978
A-n46-k7.vrp,46,7,100,460.0,914.0,0.01312910284463895,460.184276584,7,TIME_LIMIT,FEASIBLE_POINT,914.0,0.0,0.0
A-n48-k7.vrp,48,7,100,480.0,1091.0,0.05041246562786435,480.0939255,7,TIME_LIMIT,FEASIBLE_POINT,1073.0,18.0,1.6775396085740912
A-n53-k7.vrp,53,7,100,530.0,1010.0,0.016831683168316833,530.518976209,7,TIME_LIMIT,FEASIBLE_POINT,1010.0,0.0,0.0
A-n54-k7.vrp,54,7,100,540.0,1172.0,0.05887372013651877,540.029465583,7,TIME_LIMIT,FEASIBLE_POINT,1167.0,5.0,0.4284490145672665
A-n55-k9.vrp,55,9,100,550.0,1074.0,0.0297951582867784,549.978260458,9,TIME_LIMIT,FEASIBLE_POINT,1073.0,1.0,0.09319664492078285
A-n60-k9.vrp,60,9,100,600.0,1369.0,0.0591672753834916,600.152546875,9,TIME_LIMIT,FEASIBLE_POINT,1354.0,15.0,1.1078286558345642
A-n61-k9.vrp,61,9,100,610.0,1041.0,0.05187319884726225,610.136796625,9,TIME_LIMIT,FEASIBLE_POINT,1034.0,7.0,0.6769825918762089
A-n62-k8.vrp,62,8,100,620.0,1320.0,0.07121212121212121,620.018115125,8,TIME_LIMIT,FEASIBLE_POINT,1288.0,32.0,2.484472049689441
A-n63-k10.vrp,63,10,100,630.0,1326.0,0.05580693815987934,630.250307916,10,TIME_LIMIT,FEASIBLE_POINT,1314.0,12.0,0.91324200913242
A-n63-k9.vrp,63,9,100,630.0,1635.0,0.05076452599388379,630.197649583,9,TIME_LIMIT,FEASIBLE_POINT,1616.0,19.0,1.1757425742574257
A-n64-k9.vrp,64,9,100,640.0,1432.0,0.06215083798882681,640.022033833,9,TIME_LIMIT,FEASIBLE_POINT,1401.0,31.0,2.212705210563883
A-n65-k9.vrp,65,9,100,650.0,1177.0,0.04333050127442651,650.060246,9,TIME_LIMIT,FEASIBLE_POINT,1174.0,3.0,0.2555366269165247
A-n69-k9.vrp,69,9,100,690.0,1169.0,0.04448246364414029,690.021522166,9,TIME_LIMIT,FEASIBLE_POINT,1159.0,10.0,0.8628127696289906
A-n80-k10.vrp,80,10,100,800.0,1812.0,0.06567328918322296,800.028120125,10,TIME_LIMIT,FEASIBLE_POINT,1763.0,49.0,2.779353374929098
