name,n,K,capacity,timelimit,objective,mip_gap,runtime,vehicles,term,primal,stated_cost,diff,diff_pct
A-n32-k5.vrp,32,5,100,64.0,784.0,0.0,40.246504292,5,OPTIMAL,FEASIBLE_POINT,784.0,0.0,0.0
A-n33-k5.vrp,33,5,100,66.0,661.0,0.0,35.367459708,5,OPTIMAL,FEASIBLE_POINT,661.0,0.0,0.0
A-n33-k6.vrp,33,6,100,66.0,742.0,0.006738544474393531,66.012324,6,TIME_LIMIT,FEASIBLE_POINT,742.0,0.0,0.0
A-n34-k5.vrp,34,5,100,68.0,785.0,0.025477707006369428,68.0087275,5,TIME_LIMIT,FEASIBLE_POINT,778.0,7.0,0.8997429305912596
A-n36-k5.vrp,36,5,100,72.0,799.0,0.02127659574468085,72.020023375,5,TIME_LIMIT,FEASIBLE_POINT,799.0,0.0,0.0
A-n37-k5.vrp,37,5,100,74.0,669.0,0.0,35.010333542,5,OPTIMAL,FEASIBLE_POINT,669.0,0.0,0.0
A-n37-k6.vrp,37,6,100,74.0,954.0,0.04507337526205451,74.010867042,6,TIME_LIMIT,FEASIBLE_POINT,949.0,5.0,0.5268703898840885
A-n38-k5.vrp,38,5,100,76.0,731.0,0.03146374829001368,76.008818416,5,TIME_LIMIT,FEASIBLE_POINT,730.0,1.0,0.136986301369863
A-n39-k5.vrp,39,5,100,78.0,830.0,0.04939759036144578,78.0214125,5,TIME_LIMIT,FEASIBLE_POINT,822.0,8.0,0.9732360097323601
A-n39-k6.vrp,39,6,100,78.0,835.0,0.03832335329341317,78.017983125,6,TIME_LIMIT,FEASIBLE_POINT,831.0,4.0,0.4813477737665463
A-n44-k6.vrp,44,6,100,88.0,937.0,0.02774813233724653,88.011303292,6,TIME_LIMIT,FEASIBLE_POINT,937.0,0.0,0.0
A-n45-k6.vrp,45,6,100,90.0,973.0,0.06474820143884892,90.022591209,6,TIME_LIMIT,FEASIBLE_POINT,944.0,29.0,3.0720338983050848
A-n45-k7.vrp,45,7,100,90.0,1149.0,0.047867711053089644,90.009441583,7,TIME_LIMIT,FEASIBLE_POINT,1146.0,3.0,0.2617801047120419
A-n46-k7.vrp,46,7,100,92.0,914.0,0.02516411378555799,92.01220025,7,TIME_LIMIT,FEASIBLE_POINT,914.0,0.0,0.0
A-n48-k7.vrp,48,7,100,96.0,1116.0,0.07795698924731183,96.00932425,7,TIME_LIMIT,FEASIBLE_POINT,1073.0,43.0,4.007455731593662
A-n53-k7.vrp,53,7,100,106.0,1010.0,0.026732673267326732,106.091373583,7,TIME_LIMIT,FEASIBLE_POINT,1010.0,0.0,0.0
A-n54-k7.vrp,54,7,100,108.0,1211.0,0.10074318744838975,108.043626916,7,TIME_LIMIT,FEASIBLE_POINT,1167.0,44.0,3.770351328191945
A-n55-k9.vrp,55,9,100,110.0,1074.0,0.0446927374301676,110.018644459,9,TIME_LIMIT,FEASIBLE_POINT,1073.0,1.0,0.09319664492078285
A-n60-k9.vrp,60,9,100,120.0,1377.0,0.07116920842411038,119.999362416,9,TIME_LIMIT,FEASIBLE_POINT,1354.0,23.0,1.6986706056129985
A-n61-k9.vrp,61,9,100,122.0,NaN,NaN,122.018047667,0,TIME_LIMIT,NO_SOLUTION,1034.0,,
A-n62-k8.vrp,62,8,100,124.0,1317.0,0.08200455580865604,124.128954042,8,TIME_LIMIT,FEASIBLE_POINT,1288.0,29.0,2.251552795031056
A-n63-k10.vrp,63,10,100,126.0,1336.0,0.07035928143712575,126.100700042,10,TIME_LIMIT,FEASIBLE_POINT,1314.0,22.0,1.67427701674277
A-n63-k9.vrp,63,9,100,126.0,1673.0,0.07352062163777645,126.091255209,9,TIME_LIMIT,FEASIBLE_POINT,1616.0,57.0,3.527227722772277
A-n64-k9.vrp,64,9,100,128.0,1429.0,0.06578026592022393,128.132457375,9,TIME_LIMIT,FEASIBLE_POINT,1401.0,28.0,1.998572448251249
A-n65-k9.vrp,65,9,100,130.0,1249.0,0.09687750200160128,130.022805375,9,TIME_LIMIT,FEASIBLE_POINT,1174.0,75.0,6.388415672913117
A-n69-k9.vrp,69,9,100,138.0,1175.0,0.05872340425531915,138.092857958,9,TIME_LIMIT,FEASIBLE_POINT,1159.0,16.0,1.380500431406385
A-n80-k10.vrp,80,10,100,160.0,1884.0,0.11358811040339703,160.064013333,10,TIME_LIMIT,FEASIBLE_POINT,1763.0,121.0,6.8633011911514465
