name,n,K,capacity,timelimit,objective,mip_gap,runtime,vehicles,term,primal,stated_cost,diff,diff_pct
A-n32-k5.vrp,32,5,100,320.0,784.0,0.0,38.048668542,5,OPTIMAL,FEASIBLE_POINT,784.0,0.0,0.0
A-n33-k5.vrp,33,5,100,330.0,661.0,0.0,22.043872416,5,OPTIMAL,FEASIBLE_POINT,661.0,0.0,0.0
A-n33-k6.vrp,33,6,100,330.0,742.0,0.0,55.244629625,6,OPTIMAL,FEASIBLE_POINT,742.0,0.0,0.0
A-n34-k5.vrp,34,5,100,340.0,778.0,0.0,175.33555,5,OPTIMAL,FEASIBLE_POINT,778.0,0.0,0.0
A-n36-k5.vrp,36,5,100,360.0,844.0,0.06990521327014218,360.0510675,5,TIME_LIMIT,FEASIBLE_POINT,799.0,45.0,5.632040050062578
A-n37-k5.vrp,37,5,100,370.0,669.0,0.0,44.271320542,5,OPTIMAL,FEASIBLE_POINT,669.0,0.0,0.0
A-n37-k6.vrp,37,6,100,370.0,1002.0,0.07984031936127745,370.014335792,6,TIME_LIMIT,FEASIBLE_POINT,949.0,53.0,5.584826132771338
A-n38-k5.vrp,38,5,100,380.0,741.0,0.024291497975708502,380.047422375,5,TIME_LIMIT,FEASIBLE_POINT,730.0,11.0,1.5068493150684932
A-n39-k5.vrp,39,5,100,390.0,827.0,0.030229746070133012,390.029095916,5,TIME_LIMIT,FEASIBLE_POINT,822.0,5.0,0.6082725060827251
A-n39-k6.vrp,39,6,100,390.0,850.0,0.03764705882352941,390.021423792,6,TIME_LIMIT,FEASIBLE_POINT,831.0,19.0,2.286401925391095
A-n44-k6.vrp,44,6,100,440.0,943.0,0.021208907741251327,439.982970208,6,TIME_LIMIT,FEASIBLE_POINT,937.0,6.0,0.6403415154749199
A-n45-k6.vrp,45,6,100,450.0,NaN,NaN,450.4680875,0,TIME_LIMIT,NO_SOLUTION,944.0,,
A-n45-k7.vrp,45,7,100,450.0,NaN,NaN,450.01063175,0,TIME_LIMIT,NO_SOLUTION,1146.0,,
A-n46-k7.vrp,46,7,100,460.0,1291.0,0.3067389620449264,461.136676584,7,TIME_LIMIT,FEASIBLE_POINT,914.0,377.0,41.2472647702407
A-n48-k7.vrp,48,7,100,480.0,NaN,NaN,480.016606125,0,TIME_LIMIT,NO_SOLUTION,1073.0,,
A-n53-k7.vrp,53,7,100,530.0,1221.0,0.19246519246519248,531.046335417,7,TIME_LIMIT,FEASIBLE_POINT,1010.0,211.0,20.89108910891089
A-n54-k7.vrp,54,7,100,540.0,NaN,NaN,540.0111895,0,TIME_LIMIT,NO_SOLUTION,1167.0,,
A-n55-k9.vrp,55,9,100,550.0,1224.0,0.1568627450980392,550.03417675,9,TIME_LIMIT,FEASIBLE_POINT,1073.0,151.0,14.07269338303821
A-n60-k9.vrp,60,9,100,600.0,NaN,NaN,600.262987125,0,TIME_LIMIT,NO_SOLUTION,1354.0,,
A-n61-k9.vrp,61,9,100,610.0,NaN,NaN,610.023116417,0,TIME_LIMIT,NO_SOLUTION,1034.0,,
A-n62-k8.vrp,62,8,100,620.0,NaN,NaN,620.028527209,0,TIME_LIMIT,NO_SOLUTION,1288.0,,
A-n63-k10.vrp,63,10,100,630.0,NaN,NaN,630.129997,0,TIME_LIMIT,NO_SOLUTION,1314.0,,
A-n63-k9.vrp,63,9,100,630.0,NaN,NaN,630.039362375,0,TIME_LIMIT,NO_SOLUTION,1616.0,,
A-n64-k9.vrp,64,9,100,640.0,NaN,NaN,639.978297083,0,TIME_LIMIT,NO_SOLUTION,1401.0,,
A-n65-k9.vrp,65,9,100,650.0,NaN,NaN,650.036098958,0,TIME_LIMIT,NO_SOLUTION,1174.0,,
A-n69-k9.vrp,69,9,100,690.0,NaN,NaN,690.087233416,0,TIME_LIMIT,NO_SOLUTION,1159.0,,
A-n80-k10.vrp,80,10,100,800.0,NaN,NaN,800.074729292,0,TIME_LIMIT,NO_SOLUTION,1763.0,,
