name,n,K,capacity,timelimit,objective,mip_gap,runtime,vehicles,term,primal,stated_cost,diff,diff_pct
A-n32-k5.vrp,32,5,100,64.0,784.0,0.007653061224489796,64.012338208,5,TIME_LIMIT,FEASIBLE_POINT,784.0,0.0,0.0
A-n33-k5.vrp,33,5,100,66.0,661.0,0.0,43.476781708,5,OPTIMAL,FEASIBLE_POINT,661.0,0.0,0.0
A-n33-k6.vrp,33,6,100,66.0,743.0,0.012113055181695828,66.029733958,6,TIME_LIMIT,FEASIBLE_POINT,742.0,1.0,0.1347708894878706
A-n34-k5.vrp,34,5,100,68.0,778.0,0.011568123393316195,68.01685675,5,TIME_LIMIT,FEASIBLE_POINT,778.0,0.0,0.0
A-n36-k5.vrp,36,5,100,72.0,799.0,0.023779724655819776,72.011666167,5,TIME_LIMIT,FEASIBLE_POINT,799.0,0.0,0.0
A-n37-k5.vrp,37,5,100,74.0,669.0,0.0,36.704998667,5,OPTIMAL,FEASIBLE_POINT,669.0,0.0,0.0
A-n37-k6.vrp,37,6,100,74.0,967.0,0.05997931747673216,74.256308792,6,TIME_LIMIT,FEASIBLE_POINT,949.0,18.0,1.8967334035827186
A-n38-k5.vrp,38,5,100,76.0,730.0,0.023287671232876714,76.03030925,5,TIME_LIMIT,FEASIBLE_POINT,730.0,0.0,0.0
A-n39-k5.vrp,39,5,100,78.0,825.0,0.044848484848484846,78.024027958,5,TIME_LIMIT,FEASIBLE_POINT,822.0,3.0,0.36496350364963503
A-n39-k6.vrp,39,6,100,78.0,835.0,0.03832335329341317,78.015923792,6,TIME_LIMIT,FEASIBLE_POINT,831.0,4.0,0.4813477737665463
A-n44-k6.vrp,44,6,100,88.0,956.0,0.05439330543933055,88.028074542,6,TIME_LIMIT,FEASIBLE_POINT,937.0,19.0,2.0277481323372464
A-n45-k6.vrp,45,6,100,90.0,1006.0,0.09244532803180915,90.024523208,6,TIME_LIMIT,FEASIBLE_POINT,944.0,62.0,6.567796610169491
A-n45-k7.vrp,45,7,100,90.0,1157.0,0.056179775280898875,90.025500667,7,TIME_LIMIT,FEASIBLE_POINT,1146.0,11.0,0.9598603839441536
A-n46-k7.vrp,46,7,100,92.0,914.0,0.022975929978118162,92.035417292,7,TIME_LIMIT,FEASIBLE_POINT,914.0,0.0,0.0
A-n48-k7.vrp,48,7,100,96.0,1101.0,0.06448683015440508,96.0168445,7,TIME_LIMIT,FEASIBLE_POINT,1073.0,28.0,2.60950605778192
A-n53-k7.vrp,53,7,100,106.0,1027.0,0.044790652385589096,106.125555708,7,TIME_LIMIT,FEASIBLE_POINT,1010.0,17.0,1.683168316831683
A-n54-k7.vrp,54,7,100,108.0,1182.0,0.07445008460236886,108.026194167,7,TIME_LIMIT,FEASIBLE_POINT,1167.0,15.0,1.2853470437017995
A-n55-k9.vrp,55,9,100,110.0,1074.0,0.038175046554934824,110.017870291,9,TIME_LIMIT,FEASIBLE_POINT,1073.0,1.0,0.09319664492078285
A-n60-k9.vrp,60,9,100,120.0,1377.0,0.06753812636165578,120.116106209,9,TIME_LIMIT,FEASIBLE_POINT,1354.0,23.0,1.6986706056129985
A-n61-k9.vrp,61,9,100,122.0,1059.0,0.07459867799811143,122.109691042,9,TIME_LIMIT,FEASIBLE_POINT,1034.0,25.0,2.4177949709864603
A-n62-k8.vrp,62,8,100,124.0,1320.0,0.07878787878787878,124.035205416,8,TIME_LIMIT,FEASIBLE_POINT,1288.0,32.0,2.484472049689441
A-n63-k10.vrp,63,10,100,126.0,1363.0,0.08584005869405723,126.006830625,10,TIME_LIMIT,FEASIBLE_POINT,1314.0,49.0,3.7290715372907153
A-n63-k9.vrp,63,9,100,126.0,1701.0,0.09112286890064668,126.039807666,9,TIME_LIMIT,FEASIBLE_POINT,1616.0,85.0,5.25990099009901
A-n64-k9.vrp,64,9,100,128.0,1451.0,0.07925568573397657,128.038581333,9,TIME_LIMIT,FEASIBLE_POINT,1401.0,50.0,3.5688793718772307
A-n65-k9.vrp,65,9,100,130.0,1198.0,0.0642737896494157,130.018278459,9,TIME_LIMIT,FEASIBLE_POINT,1174.0,24.0,2.0442930153321974
A-n69-k9.vrp,69,9,100,138.0,1177.0,0.06032285471537808,138.039845958,9,TIME_LIMIT,FEASIBLE_POINT,1159.0,18.0,1.553062985332183
A-n80-k10.vrp,80,10,100,160.0,1967.0,0.1469242501270971,160.058321125,10,TIME_LIMIT,FEASIBLE_POINT,1763.0,204.0,11.571185479296654
