name,n,K,capacity,timelimit,objective,mip_gap,runtime,vehicles,term,primal,stated_cost,diff,diff_pct
A-n32-k5.vrp,32,5,100,64.0,784.0,0.0,41.021480333,5,OPTIMAL,FEASIBLE_POINT,784.0,0.0,0.0
A-n33-k5.vrp,33,5,100,66.0,661.0,0.0,23.635448375,5,OPTIMAL,FEASIBLE_POINT,661.0,0.0,0.0
A-n33-k6.vrp,33,6,100,66.0,742.0,0.0,62.513040708,6,OPTIMAL,FEASIBLE_POINT,742.0,0.0,0.0
A-n34-k5.vrp,34,5,100,68.0,783.0,0.016602809706257982,68.011354834,5,TIME_LIMIT,FEASIBLE_POINT,778.0,5.0,0.6426735218508998
A-n36-k5.vrp,36,5,100,72.0,NaN,NaN,72.00676475,0,TIME_LIMIT,NO_SOLUTION,799.0,,
A-n37-k5.vrp,37,5,100,74.0,669.0,0.0,44.678569375,5,OPTIMAL,FEASIBLE_POINT,669.0,0.0,0.0
A-n37-k6.vrp,37,6,100,74.0,1231.0,0.25832656376929325,74.013680917,6,TIME_LIMIT,FEASIBLE_POINT,949.0,282.0,29.715489989462593
A-n38-k5.vrp,38,5,100,76.0,741.0,0.03913630229419703,76.02824375,5,TIME_LIMIT,FEASIBLE_POINT,730.0,11.0,1.5068493150684932
A-n39-k5.vrp,39,5,100,78.0,827.0,0.04353083434099154,78.015119125,5,TIME_LIMIT,FEASIBLE_POINT,822.0,5.0,0.6082725060827251
A-n39-k6.vrp,39,6,100,78.0,850.0,0.05176470588235294,78.025063125,6,TIME_LIMIT,FEASIBLE_POINT,831.0,19.0,2.286401925391095
A-n44-k6.vrp,44,6,100,88.0,1068.0,0.1451310861423221,88.031119125,6,TIME_LIMIT,FEASIBLE_POINT,937.0,131.0,13.980789754535753
A-n45-k6.vrp,45,6,100,90.0,NaN,NaN,90.011795625,0,TIME_LIMIT,NO_SOLUTION,944.0,,
A-n45-k7.vrp,45,7,100,90.0,NaN,NaN,90.009689791,0,TIME_LIMIT,NO_SOLUTION,1146.0,,
A-n46-k7.vrp,46,7,100,92.0,NaN,NaN,92.011853417,0,TIME_LIMIT,NO_SOLUTION,914.0,,
A-n48-k7.vrp,48,7,100,96.0,NaN,NaN,96.324369875,0,TIME_LIMIT,NO_SOLUTION,1073.0,,
A-n53-k7.vrp,53,7,100,106.0,NaN,NaN,106.0163905,0,TIME_LIMIT,NO_SOLUTION,1010.0,,
A-n54-k7.vrp,54,7,100,108.0,NaN,NaN,108.116577166,0,TIME_LIMIT,NO_SOLUTION,1167.0,,
A-n55-k9.vrp,55,9,100,110.0,NaN,NaN,110.023144875,0,TIME_LIMIT,NO_SOLUTION,1073.0,,
A-n60-k9.vrp,60,9,100,120.0,NaN,NaN,120.137186833,0,TIME_LIMIT,NO_SOLUTION,1354.0,,
A-n61-k9.vrp,61,9,100,122.0,NaN,NaN,122.021413167,0,TIME_LIMIT,NO_SOLUTION,1034.0,,
A-n62-k8.vrp,62,8,100,124.0,NaN,NaN,124.0173795,0,TIME_LIMIT,NO_SOLUTION,1288.0,,
A-n63-k10.vrp,63,10,100,126.0,NaN,NaN,126.024845125,0,TIME_LIMIT,NO_SOLUTION,1314.0,,
A-n63-k9.vrp,63,9,100,126.0,NaN,NaN,126.09160475,0,TIME_LIMIT,NO_SOLUTION,1616.0,,
A-n64-k9.vrp,64,9,100,128.0,NaN,NaN,128.047238125,0,TIME_LIMIT,NO_SOLUTION,1401.0,,
A-n65-k9.vrp,65,9,100,130.0,NaN,NaN,130.018587917,0,TIME_LIMIT,NO_SOLUTION,1174.0,,
A-n69-k9.vrp,69,9,100,138.0,NaN,NaN,138.020505708,0,TIME_LIMIT,NO_SOLUTION,1159.0,,
A-n80-k10.vrp,80,10,100,160.0,NaN,NaN,160.057329417,0,TIME_LIMIT,NO_SOLUTION,1763.0,,
