name,n,K,capacity,timelimit,objective,mip_gap,runtime,vehicles,term,primal,stated_cost,diff,diff_pct
A-n32-k5.vrp,32,5,100,640.0,784.0,0.0,36.588651625,5,OPTIMAL,FEASIBLE_POINT,784.0,0.0,0.0
A-n33-k5.vrp,33,5,100,660.0,661.0,0.0,31.120422792,5,OPTIMAL,FEASIBLE_POINT,661.0,0.0,0.0
A-n33-k6.vrp,33,6,100,660.0,742.0,0.0,99.698621292,6,OPTIMAL,FEASIBLE_POINT,742.0,0.0,0.0
A-n34-k5.vrp,34,5,100,680.0,778.0,0.0,118.598173875,5,OPTIMAL,FEASIBLE_POINT,778.0,0.0,0.0
A-n36-k5.vrp,36,5,100,720.0,799.0,0.0037546933667083854,720.08631,5,TIME_LIMIT,FEASIBLE_POINT,799.0,0.0,0.0
A-n37-k5.vrp,37,5,100,740.0,669.0,0.0,31.339396042,5,OPTIMAL,FEASIBLE_POINT,669.0,0.0,0.0
A-n37-k6.vrp,37,6,100,740.0,949.0,0.0273972602739726,740.045584333,6,TIME_LIMIT,FEASIBLE_POINT,949.0,0.0,0.0
A-n38-k5.vrp,38,5,100,760.0,730.0,0.010958904109589041,760.039978375,5,TIME_LIMIT,FEASIBLE_POINT,730.0,0.0,0.0
A-n39-k5.vrp,39,5,100,780.0,822.0,0.009732360097323601,780.042034584,5,TIME_LIMIT,FEASIBLE_POINT,822.0,0.0,0.0
A-n39-k6.vrp,39,6,100,780.0,831.0,0.015643802647412757,780.041632708,6,TIME_LIMIT,FEASIBLE_POINT,831.0,0.0,0.0
A-n44-k6.vrp,44,6,100,880.0,937.0,0.011739594450373533,879.9189645,6,TIME_LIMIT,FEASIBLE_POINT,937.0,0.0,0.0
A-n45-k6.vrp,45,6,100,900.0,944.0,0.023305084745762712,900.02095575,6,TIME_LIMIT,FEASIBLE_POINT,944.0,0.0,0.0
A-n45-k7.vrp,45,7,100,900.0,1146.0,0.03664921465968586,900.433467083,7,TIME_LIMIT,FEASIBLE_POINT,1146.0,0.0,0.0
A-n46-k7.vrp,46,7,100,920.0,914.0,0.012035010940919038,920.03302875,7,TIME_LIMIT,FEASIBLE_POINT,914.0,0.0,0.0
A-n48-k7.vrp,48,7,100,960.0,1111.0,0.0666066606660666,960.041006291,7,TIME_LIMIT,FEASIBLE_POINT,1073.0,38.0,3.5414725069897486
A-n53-k7.vrp,53,7,100,1060.0,1010.0,0.01782178217821782,1060.232922583,7,TIME_LIMIT,FEASIBLE_POINT,1010.0,0.0,0.0
A-n54-k7.vrp,54,7,100,1080.0,1176.0,0.06462585034013606,1080.460508125,7,TIME_LIMIT,FEASIBLE_POINT,1167.0,9.0,0.7712082262210797
A-n55-k9.vrp,55,9,100,1100.0,1074.0,0.024208566108007448,1099.748789208,9,TIME_LIMIT,FEASIBLE_POINT,1073.0,1.0,0.09319664492078285
A-n60-k9.vrp,60,9,100,1200.0,1366.0,0.057833089311859445,1200.118562292,9,TIME_LIMIT,FEASIBLE_POINT,1354.0,12.0,0.8862629246676514
A-n61-k9.vrp,61,9,100,1220.0,1037.0,0.04628736740597879,1220.114806417,9,TIME_LIMIT,FEASIBLE_POINT,1034.0,3.0,0.2901353965183752
A-n62-k8.vrp,62,8,100,1240.0,1314.0,0.0654490106544901,1240.137916417,8,TIME_LIMIT,FEASIBLE_POINT,1288.0,26.0,2.018633540372671
A-n63-k10.vrp,63,10,100,1260.0,1330.0,0.058646616541353384,1260.212517375,10,TIME_LIMIT,FEASIBLE_POINT,1314.0,16.0,1.21765601217656
A-n63-k9.vrp,63,9,100,1260.0,1636.0,0.04645476772616137,1260.112318125,9,TIME_LIMIT,FEASIBLE_POINT,1616.0,20.0,1.2376237623762376
A-n64-k9.vrp,64,9,100,1280.0,1429.0,0.05598320503848846,1280.161469084,9,TIME_LIMIT,FEASIBLE_POINT,1401.0,28.0,1.998572448251249
A-n65-k9.vrp,65,9,100,1300.0,1177.0,0.03228547153780799,1300.003476,9,TIME_LIMIT,FEASIBLE_POINT,1174.0,3.0,0.2555366269165247
A-n69-k9.vrp,69,9,100,1380.0,1168.0,0.04195205479452055,1380.009641625,9,TIME_LIMIT,FEASIBLE_POINT,1159.0,9.0,0.7765314926660914
A-n80-k10.vrp,80,10,100,1600.0,1810.0,0.06353591160220995,1600.047081709,10,TIME_LIMIT,FEASIBLE_POINT,1763.0,47.0,2.665910380034033
