algo,cost,time_to_best,instance_name
optimal,827.3,,C101
optimal,827.3,,C102
optimal,826.3,,C103
optimal,822.9,,C104
optimal,827.3,,C105
optimal,827.3,,C106
optimal,827.3,,C107
optimal,827.3,,C108
optimal,827.3,,C109
optimal,589.1,,C201
optimal,589.1,,C202
optimal,588.7,,C203
optimal,588.1,,C204
optimal,586.4,,C205
optimal,586.0,,C206
optimal,585.8,,C207
optimal,585.8,,C208
optimal,1637.7,,R101
optimal,1466.6,,R102
optimal,1208.7,,R103
optimal,971.5,,R104
optimal,1355.3,,R105
optimal,1234.6,,R106
optimal,1064.6,,R107
optimal,932.1,,R108
optimal,1146.9,,R109
optimal,1068.0,,R110
optimal,1048.7,,R111
optimal,948.6,,R112
optimal,1143.2,,R201
optimal,1029.6,,R202
optimal,870.8,,R203
optimal,731.3,,R204
optimal,949.8,,R205
optimal,875.9,,R206
optimal,794.0,,R207
optimal,701.0,,R208
optimal,854.8,,R209
optimal,900.5,,R210
optimal,746.7,,R211
optimal,1619.8,,RC101
optimal,1457.4,,RC102
optimal,1258.0,,RC103
optimal,1132.3,,RC104
optimal,1513.7,,RC105
optimal,1372.7,,RC106
optimal,1207.8,,RC107
optimal,1114.2,,RC108
optimal,1261.8,,RC201
optimal,1092.3,,RC202
optimal,923.7,,RC203
optimal,783.5,,RC204
optimal,1154.0,,RC205
optimal,1051.1,,RC206
optimal,962.9,,RC207
optimal,776.1,,RC208
