algo,cost,time_to_best,instance_name
pyvrp,1601,5,R101
pyvrp,1195,5,R103
pyvrp,1423,5,R102
pyvrp,939,10,R112
pyvrp,1221,5,R106
pyvrp,1051,5,R107
pyvrp,1348,5,R105
pyvrp,1035,15,R111
pyvrp,829,5,C108
pyvrp,773,5,RC208
pyvrp,829,5,C109
pyvrp,1058,15,R110
pyvrp,956,5,R104
pyvrp,1133,5,R201
pyvrp,1010,10,R202
pyvrp,865,10,R203
pyvrp,787,5,R207
pyvrp,871,30,R206
pyvrp,894,70,R210
pyvrp,724,5,R204
pyvrp,588,5,C208
pyvrp,944,10,R205
pyvrp,742,10,R211
pyvrp,1112,20,RC108
pyvrp,1512,10,RC105
pyvrp,692,45,R208
pyvrp,588,5,C205
pyvrp,590,5,C204
pyvrp,846,5,R209
pyvrp,1128,10,RC104
pyvrp,1363,5,RC106
pyvrp,588,5,C206
pyvrp,588,5,C207
pyvrp,1201,15,RC107
pyvrp,1257,5,RC103
pyvrp,590,5,C203
pyvrp,590,5,C202
pyvrp,1444,5,RC102
pyvrp,590,5,C201
pyvrp,1620,10,RC101
pyvrp,1137,5,R109
pyvrp,824,5,C104
pyvrp,779,5,RC204
pyvrp,1149,5,RC205
pyvrp,829,5,C105
pyvrp,924,10,R108
pyvrp,829,5,C107
pyvrp,961,5,RC207
pyvrp,1047,5,RC206
pyvrp,829,5,C106
pyvrp,829,5,C102
pyvrp,1088,20,RC202
pyvrp,920,5,RC203
pyvrp,828,5,C103
pyvrp,829,5,C101
pyvrp,1260,5,RC201
